all_birds	wins	loss	weighted_score	habitat	N	winrate
abbotts_booby	1	4	12.7	WATER	5	0.2
acorn_woodpecker	0	2	-67.5	FOREST	2	0
american_avocet	1	3	-41	WATER	4	0.25
american_bittern	2	0	86.8	WATER	2	1
american_coot	0	3	-43.4	WATER	3	0
american_goldfinch	0	1	-50	GRASS	1	0
american_kestrel	0	1	-42	GRASS	1	0
american_oystercatcher	1	0	45	WATER	1	1
american_redstart	1	7	-60.1	FOREST	8	0.12
american_robin	1	0	50	FOREST	1	1
american_white_pelican	0	2	-29.9	WATER	2	0
american_woodcock	3	8	-44.4	GRASS	11	0.27
anhinga	0	4	-67.5	WATER	4	0
annas_hummingbird	0	1	0	WATER	1	0
asian_emerald_dove	0	1	-45	GRASS	1	0
asian_ermerald_dove	0	1	-42	GRASS	1	0
asian_koel	3	4	8.2	GRASS	7	0.43
atlantic_puffin	5	6	-3	WATER	11	0.45
audouins_gull	0	1	0	WATER	1	0
australian_ibis	1	0	45	WATER	1	1
australian_magpie	4	1	68.6	GRASS	5	0.8
australian_owlet_nightjar	0	5	-10.2	GRASS	5	0
australian_pipit	1	0	45	GRASS	1	1
australian_raven	2	3	6.4	WATER	5	0.4
australian_reed_warbler	2	1	70.1	WATER	3	0.67
australian_shelduck	0	1	-53	WATER	1	0
australian_shoveler	0	1	-42	WATER	1	0
australian_zebra_finch	0	1	-42	GRASS	1	0
azure_tit	3	1	80.7	FOREST	4	0.75
bairds_sparrow	2	5	-24.5	GRASS	7	0.29
bald_eagle	3	7	-17.5	WATER	10	0.3
baltimore_oriole	2	6	-46.2	FOREST	8	0.25
barnowl	0	1	-34	GRASS	1	0
barrows_goldeneye	1	2	33.4	WATER	3	0.33
baya_weaver	1	5	5.3	WATER	6	0.17
bearded_reedling	0	2	-65.6	WATER	2	0
bells_vireo	2	6	0	GRASS	8	0.25
belted_kingfisher	0	2	-43.4	WATER	2	0
bewicks_wren	0	1	-42	FOREST	1	0
black_bellied_whistling_duck	1	0	45	WATER	1	1
black_billed_magpie	2	4	-44.9	GRASS	6	0.33
black_chinned_hummingbird	0	3	-100.2	WATER	3	0
black_crowned_night_heron	0	3	-67.9	WATER	3	0
black_drongo	0	4	-96.4	GRASS	4	0
black_naped_oriole	1	3	-34.9	GRASS	4	0.25
black_necked_stilt	0	2	-65.6	WATER	2	0
black_noddy	2	3	-12.7	WATER	5	0.4
black_redstart	3	6	-11.4	WATER	9	0.33
black_skimmer	0	3	-82.3	WATER	3	0
black_stork	2	3	-7.6	WATER	5	0.4
black_swan	0	2	-32.8	WATER	2	0
black_tailed_godwit	4	3	45	WATER	7	0.57
black_throated_diver	5	3	37.8	WATER	8	0.62
black_vulture	0	1	-40	FOREST	1	0
black_woodpecker	2	4	4	FOREST	6	0.33
blue_gray_gnatcatcher	1	2	-13.4	FOREST	3	0.33
blue_grosbeak	0	1	-20	WATER	1	0
blue_jay	1	0	45	FOREST	1	1
blue_winged_warbler	1	8	-60	GRASS	9	0.11
bluethroat	1	7	-62.9	WATER	8	0.12
blyths_hornbill	1	6	-24.5	GRASS	7	0.14
bobolink	1	1	43.4	GRASS	2	0.5
bonellis_eagle	2	9	-34	WATER	11	0.18
brahminy_kite	0	3	-18.9	WATER	3	0
brambling	1	2	18.9	FOREST	3	0.33
brewers_blackbird	0	2	-62.7	GRASS	2	0
brolga	1	1	10.6	WATER	2	0.5
bronzed_cowbird	2	3	36.8	GRASS	5	0.4
brown_falcon	1	2	21.1	WATER	3	0.33
brown_headed_cowbird	0	3	-41.2	GRASS	3	0
brown_pelican	2	1	44.5	WATER	3	0.67
brown_shrike	0	3	-95.7	GRASS	3	0
bullfinch	2	2	13.3	FOREST	4	0.5
burrowing_owl	1	1	25.1	GRASS	2	0.5
bushtit	0	2	-17.4	WATER	2	0
california_condor	3	3	60.8	GRASS	6	0.5
california_quail	1	3	-47	GRASS	4	0.25
canada_goose	1	2	-30	WATER	3	0.33
canvasback	0	4	-43.4	WATER	4	0
carolina_chickadee	0	1	-20	FOREST	1	0
carrion_crow	0	1	-45	GRASS	1	0
cassins_finch	2	1	52.3	FOREST	3	0.67
cassins_sparrow	1	1	5.8	GRASS	2	0.5
cedar_waxwing	1	4	-49.6	GRASS	5	0.2
cerulean_warbler	4	5	27.1	FOREST	9	0.44
cettis_warbler	0	2	-76.2	WATER	2	0
chestnut_collared_longspur	3	5	5.6	GRASS	8	0.38
chihuahuan_raven	0	4	-77.1	GRASS	4	0
chimney_swift	0	2	-43.4	WATER	2	0
chipping_sparrow	2	2	44.6	FOREST	4	0.5
clarks_grebe	1	0	45	WATER	1	1
clarks_nutcracker	2	2	42.2	FOREST	4	0.5
coal_tit	1	3	-37.3	FOREST	4	0.25
cockatiel	0	1	-18	FOREST	1	0
common_chaffinch	1	0	40	FOREST	1	1
common_chiffchaff	1	3	43.4	WATER	4	0.25
common_cuckoo	1	3	12	GRASS	4	0.25
common_goldeneye	1	5	-39.7	WATER	6	0.17
common_grackle	1	1	-14.5	WATER	2	0.5
common_green_magpie	2	2	51.8	FOREST	4	0.5
common_iora	1	2	4.5	GRASS	3	0.33
common_loon	0	1	-34	WATER	1	0
common_merganser	0	1	-45	WATER	1	0
common_moorhen	0	2	13.5	WATER	2	0
common_myna	0	1	-35	GRASS	1	0
common_nightingale	0	5	-52.1	WATER	5	0
