Final_score	Birds	Bonus_cards	End_of_round_goals	Eggs	Food_on_cards	Tucked_cards	Nectar	Win	Player	Place	Forest	Grass	Water	turn_order	Win_bool	allbirds	N_birds
117	53	24	9	1	14	9	7	0	Athos						FALSE		0
123	52	18	13	9	12	10	9	1	Sain						TRUE		0
109	28	7	11	38	12	7	6	0	Erk						FALSE		0
111	46	26	18	1	10	9	1	0	Pent						FALSE		0
89	50	3	13	9	3	3	8	0	Athos						FALSE		0
103	59	4	12	6	1	12	9	1	Sain						TRUE		0
79	20	0	15	29	2	10	3	0	Erk						FALSE		0
97	42	17	16	3	0	11	8	0	Athos						FALSE		0
104	35	3	22	23	4	10	7	1	Erk						TRUE		0
101	36	4	15	17	14	9	6	0	Sain						FALSE		0
107	40	23	19	14	0	4	7	0	Athos						FALSE		0
124	54	14	11	21	0	18	6	1	Sain						TRUE		0
96	55	9	12	12	1	6	1	0	Erk						FALSE		0
77	45	10	6	3	2	4	7	0	Pent						FALSE		0
79	45	10	4	6	0	6	8	0	Athos						FALSE		0
121	64	13	17	11	5	4	7	1	Sain						TRUE		0
94	38	4	13	27	8	4	0	0	Erk						FALSE		0
101	50	10	15	11	0	9	6	0	Pent						FALSE		0
97	40	10	18	12	3	3	11	0	Athos						FALSE		0
125	53	12	15	11	8	20	6	1	Sain						TRUE		0
106	52	17	18	11	4	0	4	0	Pent						FALSE		0
99	62	0	13	5	12	1	6	0	Athos						FALSE		0
106	57	5	19	12	8	0	5	1	Sain						TRUE		0
97	55	7	16	4	4	1	10	0	Pent						FALSE		0
92	47	5	15	15	1	7	2	0	Athos						FALSE		0
90	43	2	7	18	13	0	7	0	Sain						FALSE		0
116	46	17	15	12	2	12	12	1	Pent						TRUE		0
87	50	7	13	16	1	0	12	0	Athos						FALSE		0
128	53	19	19	28	0	0	9	1	Sain						TRUE		0
95	48	9	7	6	4	9	12	0	Athos						FALSE		0
94	50	9	11	11	1	12	0	0	Sain						FALSE		0
96	31	6	19	23	0	10	7	0	Erk						FALSE		0
101	44	10	8	5	9	23	2	1	Pent						TRUE		0
100	48	0	15	0	18	12	7	0	Athos						FALSE		0
107	29	6	16	30	5	16	5	0	Erk						FALSE		0
134	60	31	16	8	1	9	9	1	Pent						TRUE		0
93	52	6	16	3	2	2	12	0	Athos						FALSE		0
104	36	14	16	2	11	16	9	0	Pent						FALSE		0
108	61	9	13	7	0	9	9	1	Athos						TRUE		0
137	60	30	19	5	2	9	12	1	Pent						TRUE		0
115	65	13	15	4	0	8	10	0	Athos						FALSE		0
108	53	28	12	0	4	6	5	1	Pent						TRUE		0
92	44	8	14	8	6	7	5	0	Erk						FALSE		0
85	60	4	3	2	2	2	12	1	Athos						TRUE		0
69	49	0	0	7	4	2	7	0	Erk						FALSE		0
113	51	15	11	24	6	4	2	0	Athos						FALSE		0
121	40	5	13	32	0	23	8	1	Erk						TRUE		0
134	67	20	16	16	0	5	10	1	Pent						TRUE		0
114	46	19	19	8	1	13	8	0	Sain						FALSE		0
99	48	20	16	5	0	2	8	0	Athos						FALSE		0
94	50	5	16	14	1	2	6	0	Athos						FALSE		0
145	62	35	15	22	1	5	5	1	Sain						TRUE		0
112	62	7	15	6	6	8	8	0	Erk						FALSE		0
117	63	23	16	5	0	4	6	0	Athos						FALSE		0
107	50	16	7	17	8	6	3	0	Sain						FALSE		0
109	59	4	4	35	1	1	5	0	Erk						FALSE		0
132	44	33	22	7	0	19	7	1	Pent						TRUE		0
119	62	16	14	3	6	10	8	0	Athos						FALSE		0
114	57	13	9	7	4	21	3	0	Sain						FALSE		0
97	48	0	14	10	5	15	5	0	Erk						FALSE		0
143	64	26	16	5	12	16	4	1	Pent						TRUE		0
108	51	24	15	0	8	6	7	0	Athos						FALSE		0
124	60	21	15	18	0	5	5	1	Sain						TRUE		0
115	50	15	15	21	0	6	8	0	Erk						FALSE		0
100	36	27	9	16	0	2	10	0	Athos						FALSE		0
112	57	19	5	8	10	9	4	1	Sain						TRUE		0
101	56	7	22	14	0	0	2	0	Erk						FALSE		0
94	51	23	4	1	0	10	5	0	Pent						FALSE		0
129	72	17	15	5	0	8	12	1	Athos						TRUE		0
127	35	7	9	27	26	21	2	0	Sain						FALSE		0
106	77	0	15	5	0	2	7	0	Erk						FALSE		0
113	53	11	18	1	3	15	12	0	Athos						FALSE		0
123	51	20	16	4	0	25	7	1	Pent						TRUE		0
111	47	11	16	15	0	9	13	0	Athos						FALSE		0
126	64	27	19	9	0	0	7	1	Pent						TRUE		0
99	52	6	12	13	0	6	10	0	Athos						FALSE		0
120	47	24	13	26	0	5	5	1	Erk						TRUE		0
107	45	16	15	4	0	21	6	0	Pent						FALSE		0
110	52	7	16	22	7	2	4	0	Athos						FALSE		0
112	48	8	14	15	0	12	15	1	Erk						TRUE		0
110	48	11	14	28	7	0	2	0	Pent						FALSE		0
104	52	4	15	2	16	3	12	0	Athos						FALSE		0
108	61	8	16	19	0	0	4	1	Erk						TRUE		0
104	45	17	13	12	0	14	4	0	Pent						FALSE		0
96	43	6	22	4	3	7	11	0	Athos						FALSE		0
103	44	12	16	0	0	25	6	1	Pent						TRUE		0
90	47	3	14	6	4	9	7	0	Athos						FALSE		0
104	60	6	22	5	0	4	7	1	Erk						TRUE		0
102	54	9	16	0	6	10	7	0	Pent						FALSE		0
132	54	24	22	6	2	7	12	1	Athos						TRUE		0
121	57	16	12	5	7	15	9	1	Pent						TRUE		0
118	56	6	15	8	0	15	8	0	Athos						FALSE		0
108	63	8	12	11	0	5	9	0	Erk						FALSE		0
112	47	23	18	8	0	10	6	1	Pent						TRUE		0
91	57	6	8	6	2	5	7	0	Athos						FALSE		0
116	65	10	19	5	1	6	10	0	Erk						FALSE		0
120	69	23	12	7	2	4	3	1	Pent						TRUE		0
101	46	13	18	8	0	4	12	0	Athos						FALSE		0
116	42	24	19	3	11	8	9	1	Pent						TRUE		0
104	41	7	19	25	0	3	9	0	Athos						FALSE		0
113	54	16	19	2	3	7	12	1	Pent						TRUE		0
131	58	21	18	20	2	10	2	1	Athos						TRUE		0
117	64	11	16	9	0	4	13	0	Erk						FALSE		0
128	61	34	15	5	0	8	5	1	Pent						TRUE		0
88	46	8	13	11	0	0	10	0	Athos						FALSE		0
105	65	7	19	1	5	0	8	1	Erk						TRUE		0
99	51	22	19	2	0	2	3	0	Athos						FALSE		0
115	60	15	5	11	18	0	10	1	Erk						TRUE		0
99	44	23	15	5	2	6	4	0	Pent						FALSE		0
73	24	0	18	18	0	10	3	0	Kent						FALSE		0
94	50	7	15	8	0	7	7	1	Athos						TRUE		0
103	44	10	19	12	3	11	4	1	Pent						TRUE		0
95	54	11	12	3	0	5	10	0	Kent						FALSE		0
109	47	17	11	10	7	10	7	1	Athos						TRUE		0
104	61	8	15	8	3	4	5	0	Erk						FALSE		0
113	48	7	7	15	5	7	9	0	Pent						FALSE		0
119	44	29	16	4	9	4	13	1	Athos						TRUE		0
99	59	4	16	0	17	0	3	0	Erk						FALSE		0
88	49	2	15	7	11	0	4	0	Pent						FALSE		0
112	39	7	19	12	18	5	12	1	Athos						TRUE		0
120	54	13	16	5	1	22	9	1	Pent						TRUE		0
101	55	9	19	1	2	3	12	0	Athos						FALSE		0
115	54	16	19	4	4	9	9	1	Pent						TRUE		0
92	41	15	12	2	2	10	10	0	Athos						FALSE		0
95	56	9	11	9	0	2	8	1	Erk						TRUE		0
88	56	18	8	1	3	0	2	0	Pent						FALSE		0
113	62	13	10	19	2	2	5	1	Athos						TRUE		0
101	58	12	7	11	0	5	8	0	Erk						FALSE		0
104	55	19	15	2	0	9	4	1	Pent						TRUE		0
94	49	13	13	16	0	0	3	0	Kent						FALSE		0
89	46	3	16	6	0	7	11	0	Athos						FALSE		0
111	48	6	19	7	6	17	8	1	Pent						TRUE		0
100	50	20	11	5	0	11	3	0	Athos						FALSE		0
89	56	13	8	3	2	4	3	0	Pent						FALSE		0
106	61	5	19	13	0	6	2	1	Kent						TRUE		0
103	58	5	12	11	0	6	11	0	Erk						FALSE		0
98	44	17	11	9	3	12	2	0	Athos						FALSE		0
108	59	4	11	6	0	16	12	0	Erk						FALSE		0
130	57	8	18	12	9	19	7	1	Pent						TRUE		0
110	56	25	18	9	0	10	2	0	Pent						FALSE		0
112	60	14	22	5	0	8	3	1	Kent						TRUE		0
104	63	14	10	2	0	5	10	0	Erk						FALSE		0
83	57	12	3	1	0	5	5	0	Athos						FALSE		0
96	47	9	9	9	3	14	5	0	Athos						FALSE		0
113	63	3	18	14	8	0	7	1	Erk						TRUE		0
112	56	12	14	6	3	12	9	0	Pent						FALSE		0
124	67	8	22	3	9	9	6	1	Athos						TRUE		0
95	63	5	10	1	2	7	7	0	Erk						FALSE		0
106	56	7	16	10	6	3	8	0	Pent						FALSE		0
114	66	16	12	0	1	4	15	0	Athos						FALSE		0
122	49	18	19	23	4	3	6	1	Sain						TRUE		0
111	59	19	12	6	5	6	4	0	Athos						FALSE		0
131	66	19	11	18	11	0	6	1	Erk						TRUE		0
113	60	8	15	15	8	4	3	0	Pent						FALSE		0
97	72	4	6	8	0	3	4	0	Kent						FALSE		0
121	61	15	17	1	12	0	15	1	Erk						TRUE		0
107	50	27	11	8	0	8	3	0	Athos						FALSE		0
118	66	19	10	10	2	9	2	0	Kent						FALSE		0
125	61	33	11	5	0	14	1	1	Pent						TRUE		0
100	45	6	13	20	1	15	0	0	Pent						FALSE		0
101	38	10	16	20	0	17	0	1	Sain						TRUE		0
87	52	3	4	3	18	7	7	0	Erk						FALSE		0
94	49	10	13	8	2	5	7	0	Athos						FALSE		0
98	38	15	9	6	5	18	7	0	Kent						FALSE		0
98	64	5	4	16	5	4	0	0	Pent						FALSE		0
109	45	7	15	26	2	13	1	0	Sain						FALSE		0
133	72	16	22	3	0	5	15	1	Erk						TRUE		0
111	65	16	4	5	13	5	3	0	Athos						FALSE		0
119	70	7	15	5	0	20	2	0	Kent						FALSE		0
105	55	30	8	12	0	0	0	0	Kent						FALSE		0
103	48	6	11	28	1	4	5	0	Pent						FALSE		0
140	56	14	14	34	0	16	6	1	Sain						TRUE		0
120	65	18	11	8	3	10	5	0	Erk						FALSE		0
121	63	18	16	17	4	0	3	0	Athos						FALSE		0
102	52	0	22	10	3	5	10	0	Athos						FALSE		0
110	45	28	13	6	7	2	10	1	Sain						TRUE		0
112	70	6	15	1	9	5	6	0	Sain						FALSE		0
118	64	18	17	6	3	2	8	1	Erk						TRUE		0
106	56	9	15	7	0	12	7	0	Athos						FALSE		0
87	48	6	13	0	10	4	6	0	Athos						FALSE		0
108	55	12	19	3	5	2	15	1	Sain						TRUE		0
103	64	5	11	4	0	4	15	0	Erk						FALSE		0
97	53	7	16	3	7	10	1	0	Sain						FALSE		0
123	67	23	18	9	0	1	5	1	Athos						TRUE		0
